V,Rinit,Rfinal,dR,dw,w
0.444,3209829782.727,3173855051.6270003,-35974731.1,0.0056383331610321274,0.054896408351779336
2.043,3173855051.627,3233023394.158,59168342.531,-0.009206948981225323,0.060534741512811546
1.654,3233023394.157,3220420039.385,-12603354.772,0.0019328006489661848,0.05132779253173902
-1.944,3220420039.386,1233742740.581,-1986677298.805,0.7983851813815801,0.053260593180551256
2.922,1233742740.581,3049335968.976,1815593228.395,-0.7705679408157341,0.8516457745621313
1.161,3049335968.976,3044047365.377,-5288603.599,0.0009097176123070982,0.08107783374639717
-1.798,3044047365.377,1237309840.9439998,-1806737524.433,0.7659271435536684,0.08198755135870427
2.084,1237309840.944,2829963083.132,1592653242.188,-0.7262468500171748,0.8479146949123724
-0.416,2829963083.132,2790832672.837,-39130410.295,0.007910830908609917,0.1216678448951975
-2.026,2790832672.836,1213687972.9589999,-1577144699.877,0.743452049019468,0.12957867580401244
2.938,1213687972.959,3068440020.436,1854752047.477,-0.7952129453727731,0.8730307248234801
0.374,3068440020.436,3044035782.641,-24404237.795,0.004171767778077193,0.077817779450707
-1.643,3044035782.641,1276890516.2149997,-1767145266.426,0.7259239182277184,0.0819895472287842
-1.173,1276890516.215,1266965459.3539999,-9925056.861,0.009795730674328595,0.8079134654565026
0.499,1266965459.354,1268967092.5110002,2001633.157,-0.0019878866652001115,0.8177091961308308
-0.37,1268967092.511,1269676010.424,708917.913,-0.0007025462910486002,0.815721309465631
-1.53,1269676010.424,1248408279.444,-21267730.98,0.021423670141385687,0.8150187631745824
2.649,1248408279.444,2998700812.873,1750292533.429,-0.7465228948250776,0.8364424333159681
-1.496,2998700812.873,1314388612.137,-1684312200.736,0.6823197439852122,0.08991953849089056
2.68,1314388612.137,3045577060.7139997,1731188448.577,-0.6905151859766769,0.7722392824761027
2.94,3045577060.714,3233182801.7310004,187605741.017,-0.030420653583546862,0.08172409649942568
-0.716,3233182801.731,2900534858.628,-332647943.103,0.05663680711868745,0.0513034429158789
1.629,2900534858.628,3079694802.245,179159943.617,-0.0320241356584367,0.10794025003456635
-2.316,3079694802.245,1201959193.485,-1877735608.76,0.809952047223549,0.07591611437612965
1.783,1201959193.485,2492651352.232,1290692158.747,-0.6878499009846232,0.8858681615996786
2.808,2492651352.232,3143623513.361,650972161.129,-0.13264552986955763,0.19801826061505545
-0.721,3143623513.361,2884038576.9,-259584936.461,0.04571620403061237,0.06537273074549782
-0.923,2884038576.9,2309690189.7060003,-574348387.194,0.13767113089594418,0.11108893477611019
2.713,2309690189.706,3153895099.8719997,844204910.166,-0.18504151210310293,0.24876006567205453
-2.001,3153895099.872,1219441556.7390003,-1934453543.133,0.8031050151021082,0.06371855356895152
-2.773,1219441556.739,1172229874.278,-47211682.461,0.05273488098452306,0.86682356867106
-1.443,1172229874.278,1169662464.654,-2567409.624,0.0029898134778530983,0.9195584496555831
-1.671,1169662464.654,1166177358.083,-3485106.571,0.004079558577673725,0.9225482631334362
1.096,1166177358.084,1392869206.1000001,226691848.016,-0.22283491000394828,0.9266278217099354
1.684,1392869206.099,2270473569.701,877604363.602,-0.4430923533024544,0.7037929117068102
0.048,2270473569.701,2248030865.464,-22442704.237,0.007020672823722873,0.26070055840435585
-2.9,2248030865.464,1172126824.1230001,-1075904041.341,0.6519569706350996,0.2677212312280787
1.515,1172126824.122,1996700452.5019999,824573628.38,-0.5625539633388787,0.919678201864341
-0.732,1996700452.502,1835155336.723,-161545115.779,0.07039314250958506,0.3571242385254621
2.432,1835155336.723,2977548539.624,1142393202.901,-0.3338152694443687,0.42751738103504716
1.111,2977548539.624,2948169702.544,-29378837.08,0.005343742727602116,0.0937021115906785
0.095,2948169702.544,2931270500.573,-16899201.971,0.003122339255544504,0.09904585431828061
-1.148,2931270500.573,1650489803.48,-1280780697.093,0.42269615711148534,0.10216819357382512
0.196,1650489803.48,1644451497.3140001,-6038306.166,0.003552249684887432,0.5248643506853105
2.511,1644451497.314,2993792371.517,1349340874.203,-0.43762406827752004,0.528416600370198
1.364,2993792371.518,2996447711.2390003,2655339.721,-0.00047262205051155914,0.09079253209249981
-2.938,2996447711.238,1191959044.287,-1804488666.951,0.8066931904497928,0.09031991004216613
0.168,1191959044.287,1194215221.467,2256177.18,-0.0025307633445150746,0.8970131004919589
1.372,1194215221.467,1804518333.455,610303111.988,-0.45219312199173134,0.8944823371474439
1.099,1804518333.455,1811270175.852,6751842.397,-0.0032983750026589487,0.4422892151557125
0.049,1811270175.852,1805619629.975,-5650545.877,0.0027586917149410306,0.43899084015305356
-2.188,1805619629.974,1178609417.678,-627010212.296,0.4704361734698798,0.44174953186848426
-2.026,1178609417.679,1165049674.806,-13559742.873,0.0157673741493336,0.9121857053372147
-2.374,1165049674.806,1155124565.746,-9925109.06,0.01177563385821867,0.9279530794865483
-1.883,1155124565.745,1153372605.6699998,-1751960.075,0.0020996553932974837,0.939728713345964
1.81,1153372605.671,2338459235.979,1185086630.308,-0.7015731049302201,0.9418283687380612
