# pulseAmplitude,deltaCpos (at 0.65 V),CposInitial
-9.739999999999999769e-01,-1.128940033850494743e-13,1.200425184612904204e-12
-9.739999999999999769e-01,1.103902274461811042e-13,1.313319187997953679e-12
-9.739999999999999769e-01,-1.156969835807563399e-13,1.202928960551772575e-12
-9.739999999999999769e-01,-1.748791338381761031e-15,1.318625944132528914e-12
-9.739999999999999769e-01,1.870014806338560199e-15,1.320374735470910676e-12
-9.739999999999999769e-01,9.208117730475562905e-14,1.318504720664572115e-12
-9.739999999999999769e-01,-4.848600585108977182e-14,1.226423543359816486e-12
-9.739999999999999769e-01,-3.367820606574076105e-14,1.274909549210906258e-12
-9.739999999999999769e-01,1.306334548913077758e-13,1.308587755276647019e-12
-9.739999999999999769e-01,-1.086957804613587333e-13,1.177954300385339243e-12
-9.739999999999999769e-01,-2.687277042093558248e-16,1.286650080846697977e-12
-9.739999999999999769e-01,1.018555518188865484e-13,1.286918808550907332e-12
-9.739999999999999769e-01,-5.803377875608545873e-15,1.185063256732020784e-12
-9.739999999999999769e-01,-5.354989060633769314e-15,1.190866634607629330e-12
-9.739999999999999769e-01,-9.242034713557908109e-14,1.196221623668263099e-12
-9.739999999999999769e-01,1.121064920072796987e-13,1.288641970803842180e-12
-9.739999999999999769e-01,1.877528475239777270e-15,1.176535478796562482e-12
-1.030999999999999917e+00,-4.190719982728542460e-15,1.174657950321322704e-12
-1.030999999999999917e+00,-3.899158558687192651e-14,1.178848670304051247e-12
-1.030999999999999917e+00,9.036076862346748848e-15,1.217840255890923173e-12
-1.030999999999999917e+00,-5.864943399915357969e-15,1.208804179028576425e-12
-1.030999999999999917e+00,8.800290816808349946e-15,1.214669122428491782e-12
-1.030999999999999917e+00,-9.577424838630707595e-14,1.205868831611683433e-12
-1.030999999999999917e+00,5.614123333941753975e-14,1.301643079997990508e-12
-1.030999999999999917e+00,3.257436925189307779e-14,1.245501846658572969e-12
-1.030999999999999917e+00,-9.797951788996003889e-14,1.212927477406679891e-12
-1.030999999999999917e+00,-7.283967215781118647e-16,1.310906995296639930e-12
-1.030999999999999917e+00,1.156637556860957509e-13,1.311635392018218042e-12
-1.030999999999999917e+00,1.599412037570916109e-14,1.195971636332122291e-12
-1.030999999999999917e+00,-1.085281871438750242e-13,1.179977515956413130e-12
-1.030999999999999917e+00,4.087776550336804483e-14,1.288505703100288154e-12
-1.030999999999999917e+00,-4.146268095016160852e-14,1.247627937596920109e-12
-1.030999999999999917e+00,4.296803202544046740e-14,1.289090618547081718e-12
-1.030999999999999917e+00,-5.043209884478130509e-14,1.246122586521641250e-12
-1.030999999999999917e+00,1.082564158658467175e-13,1.296554685366422555e-12
-1.030999999999999917e+00,-1.002252010431992777e-13,1.188298269500575838e-12
-1.030999999999999917e+00,1.738441592301029097e-14,1.288523470543775116e-12
-1.086999999999999966e+00,5.494418971828268173e-14,1.271139054620764825e-12
-1.086999999999999966e+00,-7.685650512661738008e-14,1.216194864902482143e-12
-1.086999999999999966e+00,6.719092491179234359e-14,1.293051370029099523e-12
-1.086999999999999966e+00,2.713197387865129858e-15,1.225860445117307179e-12
-1.086999999999999966e+00,9.303563419767697257e-15,1.223147247729442049e-12
-1.086999999999999966e+00,-6.831429366148217627e-14,1.213843684309674352e-12
-1.086999999999999966e+00,6.636674639871429966e-14,1.282157977971156529e-12
-1.086999999999999966e+00,-9.764805425336955390e-14,1.215791231572442229e-12
-1.086999999999999966e+00,-2.150288065669673522e-16,1.313439285825811783e-12
-1.086999999999999966e+00,1.034504501334949407e-13,1.313654314632378750e-12
-1.086999999999999966e+00,-1.647163124725588696e-14,1.210203864498883809e-12
-1.086999999999999966e+00,2.989125844092609113e-14,1.226675495746139696e-12
-1.086999999999999966e+00,-9.352301790235970827e-14,1.196784237305213605e-12
-1.086999999999999966e+00,1.103599436386136622e-13,1.290307255207573313e-12
-1.086999999999999966e+00,-6.702390795868562962e-15,1.179947311568959651e-12
-1.086999999999999966e+00,-1.030889748423026731e-13,1.186649702364828214e-12
-1.086999999999999966e+00,8.812470037338007837e-14,1.289738677207130887e-12
-1.086999999999999966e+00,1.098691593490583506e-14,1.201613976833750809e-12
-1.086999999999999966e+00,-1.075879307326849267e-13,1.190627060898844974e-12
-1.086999999999999966e+00,9.854366837003935118e-14,1.298214991631529901e-12
-1.143000000000000016e+00,-9.118979257880456351e-14,1.199671323261490549e-12
-1.143000000000000016e+00,8.502936525902269194e-14,1.290861115840295113e-12
-1.143000000000000016e+00,-1.062364094883031522e-13,1.205831750581272421e-12
-1.143000000000000016e+00,-6.087328079460233566e-15,1.312068160069575573e-12
