pulseAmplitude,deltaRneg(measured at -80mV),RnegInitial,deltaRpos(measured at +80mV),RposInitial
-0.709,-176996518.45,2346891717.936,-201802734.443,2818958056.723
-1.18,-854049456.083,2169895199.487,-1025533618.926,2617155322.28
-0.3,11985940.652,1315845743.404,-1594986.93,1591621703.354
-0.785,-8681849.741,1327831684.056,-11071037.71,1590026716.424
0.161,4012788.987,1319149834.315,-3091612.748,1578955678.714
1.274,305232019.768,1323162623.302,357737038.894,1575864065.966
-2.738,-680639637.739,1628394643.07,-777411443.508,1933601104.86
2.206,1264263666.318,947755005.331,1455422480.294,1156189661.352
2.859,223552850.43,2212018671.65,269698739.553,2611612141.646
0.638,-51426089.209,2435571522.08,-43048550.545,2881310881.199
-0.943,-633137070.931,2384145432.871,-734304733.815,2838262330.653
-0.871,-80046627.382,1751008361.94,-87412855.508,2103957596.839
-0.688,-82363.277,1670961734.559,-10026567.041,2016544741.33
1.258,217898971.608,1670879371.282,252980759.227,2006518174.289
1.339,56067766.3,1888778342.89,58175419.331,2259498933.517
1.048,-4215811.875,1944846109.189,-5194767.706,2317674352.847
-0.923,-273378008.281,1940630297.314,-308896176.214,2312479585.141
-2.163,-709207466.906,1667252289.033,-840941421.274,2003583408.927
1.721,856282375.454,958044822.127,987866742.069,1162641987.653
0.03,-24300065.245,1814327197.581,-23038138.013,2150508729.721
2.895,563650606.815,1790027132.336,664926548.598,2127470591.708
2.761,102691010.925,2353677739.151,123224761.846,2792397140.306
2.19,11880311.063,2456368750.077,14053438.551,2915621902.152
0.845,-30076544.586,2468249061.14,-18361246.304,2929675340.703
-0.153,-21784086.946,2438172516.554,-18371067.296,2911314094.399
-1.325,-1237011022.94,2416388429.607,-1465411657.101,2892943027.103
2.082,1078880336.193,1179377406.667,1264445260.949,1427531370.002
-0.785,-307258075.018,2258257742.86,-346097929.301,2691976630.951
-1.414,-837116224.606,1950999667.842,-996528582.401,2345878701.65
1.275,415566107.87,1113883443.237,463227538.375,1349350119.249
0.432,-7263692.213,1529449551.107,-6490874.251,1812577657.624
1.023,4811453.591,1522185858.893,6204265.133,1806086783.373
-0.471,-6801511.266,1526997312.485,-8367605.213,1812291048.506
1.194,18899134.004,1520195801.219,14899923.495,1803923443.293
-1.472,-469464679.662,1539094935.223,-521396747.615,1818823366.788
-1.295,-4208002.087,1069630255.561,-16635602.64,1297426619.172
-2.775,-124349854.422,1065422253.475,-136315257.959,1280791016.532
-1.447,7343272.568,941072399.052,-5033686.383,1144475758.573
2.081,1160241314.202,948415671.621,1351096992.539,1139442072.189
0.374,-35705683.594,2108656985.822,-24306413.904,2490539064.728
1.88,116719037.428,2072951302.228,134080946.996,2466232650.824
0.123,-32077609.018,2189670339.656,-28525343.434,2600313597.82
0.594,-11781648.919,2157592730.639,-5841827.498,2571788254.386
-2.507,-1201044498.114,2145811081.719,-1415267958.095,2565946426.888
-0.216,24333655.277,944766583.606,2564450.296,1150678468.792
-1.948,-30089017.699,969100238.883,-14096140.026,1153242919.088
1.747,852983044.434,939011221.184,990497442.574,1139146779.062
0.779,-26910188.045,1791994265.618,-17234447.939,2129644221.636
1.461,43532624.549,1765084077.574,46135366.878,2112409773.698
-1.179,-670882613.334,1808616702.123,-784319430.874,2158545140.575
1.852,767336255.934,1137734088.789,885670233.39,1374225709.702
1.244,-14703136.166,1905070344.722,-5079090.59,2259895943.091
2.415,381922390.209,1890367208.556,436040622.869,2254816852.501
-0.671,-168611949.498,2272289598.765,-172490711.767,2690857475.37
1.67,103078887.56,2103677649.266,102011789.385,2518366763.603
-1.827,-1217847155.538,2206756536.827,-1419937991.302,2620378552.988
0.137,24446651.22,988909381.289,2512688.543,1200440561.686
1.84,889740209.923,1013356032.508,1070560709.999,1202953250.229
2.786,447281639.572,1903096242.432,515985526.852,2273513960.228
0.256,-40937061.136,2350377882.004,-28266099.351,2789499487.081
1.488,6298681.596,2309440820.868,10752095.382,2761233387.73
0.493,-12844302.618,2315739502.463,-14524828.629,2771985483.112
-0.852,-369779084.326,2302895199.845,-423750621.455,2757460654.483
1.627,261484618.026,1933116115.519,292386936.916,2333710033.028
-1.978,-1217503883.706,2194600733.545,-1441931395.176,2626096969.944
0.681,34854293.159,977096849.84,16176642.799,1184165574.767
1.164,221349199.55,1011951142.999,257814162.415,1200342217.566
-0.893,-107075925.441,1233300342.549,-115333766.848,1458156379.981
2.489,1113856225.795,1126224417.108,1298710744.15,1342822613.133
0.574,-49993088.678,2240080642.903,-29909279.676,2641533357.283
1.9,93341997.121,2190087554.225,95725021.523,2611624077.607
1.334,-16816981.166,2283429551.346,1198943.064,2707349099.13
1.789,22959972.35,2266612570.18,19858834.21,2708548042.194
-0.117,-21773866.358,2289572542.53,-18087810.868,2728406876.404
-0.243,-5622655.125,2267798676.173,-6593331.475,2710319065.536
-0.144,-5144097.023,2262176021.047,-8004584.849,2703725734.062
-1.435,-1156540554.627,2257031924.024,-1364003633.132,2695721149.213
0.334,20540877.096,1100491369.396,2319299.334,1331717516.08
2.351,1155758321.219,1121032246.493,1356275906.537,1334036815.414
1.58,653343.115,2276790567.712,32040589.145,2690312721.951
0.894,-16531191.667,2277443910.827,-16099564.626,2722353311.096
-0.211,-10991466.404,2260912719.16,-14432911.373,2706253746.47
0.796,-7023249.104,2249921252.756,-3312728.573,2691820835.097
0.027,-3404308.387,2242898003.653,-3542504.29,2688508106.524
-2.736,-1288027962.304,2239493695.265,-1522897818.821,2684965602.234
1.75,903571458.215,951465732.962,1049991256.442,1162067783.414
-0.573,-49217848.053,1855037191.177,-59103381.592,2212059039.856
-0.278,-11347393.412,1805819343.124,-5897182.052,2152955658.264
-0.423,-3426906.272,1794471949.712,-4562114.438,2147058476.211
0.003,-3237266.744,1791045043.44,-4374776.42,2142496361.773
0.525,-5395727.59,1787807776.696,-7760531.762,2138121585.353
-1.548,-780588730.666,1782412049.105,-917376049.118,2130361053.591
2.738,1272378308.865,1001823318.44,1486104929.879,1212985004.473
-2.704,-1327361941.466,2274201627.305,-1543410695.436,2699089934.351
-0.881,24729763.16,946839685.839,634087.306,1155679238.916
0.124,4707032.501,971569448.999,1285004.521,1156313326.222
-1.886,-29719110.657,976276481.5,-16163090.072,1157598330.743
-2.823,-7808394.665,946557370.842,-3992326.088,1141435240.672
1.569,690152956.597,938748976.177,793597694.235,1137442914.584
1.703,188917147.874,1628901932.774,229761999.702,1931040608.818
2.015,256772873.048,1817819080.647,311250827.386,2160802608.521
1.661,6650381.48,2074591953.695,13825219.655,2472053435.907
0.035,-21960767.032,2081242335.175,-17221345.93,2485878655.562
1.144,-6523636.543,2059281568.143,-5897319.139,2468657309.633
-1.266,-912390048.921,2052757931.6,-1089836108.826,2462759990.494
-1.747,-157257715.354,1140367882.679,-183576862.915,1372923881.668
2.034,1059602964.256,983110167.325,1236012540.802,1189347018.753
0.557,-30496967.248,2042713131.581,-19398068.171,2425359559.555
1.543,45397004.391,2012216164.334,46405870.795,2405961491.383
-1.747,-1062182196.885,2057613168.724,-1244316913.992,2452367362.178
-2.37,-47325523.551,995430971.839,-58248501.572,1208050448.187
-2.9,-12351944.476,948105448.288,-16060088.298,1149801946.615
-2.25,-656265.388,935753503.812,-3373669.138,1133741858.316
-2.298,-2478912.474,935097238.424,-1225293.322,1130368189.178
-0.165,23592021.202,932618325.95,3404826.873,1129142895.856
1.639,728341345.212,956210347.152,867538280.968,1132547722.73
-0.998,-426294378.743,1684551692.364,-491551469.571,2000086003.698
-1.75,-291253888.011,1258257313.621,-339938222.801,1508534534.127
-2.566,-30226500.299,967003425.61,-32700586.553,1168596311.326
0.827,57782832.812,936776925.311,45446161.476,1135895724.772
-1.777,-52352401.839,994559758.123,-43601325.229,1181341886.249
0.807,45910526.179,942207356.284,34386263.102,1137740561.02
1.202,212218211.643,988117882.463,246967084.417,1172126824.122
1.139,17475620.025,1200336094.106,19227282.966,1419093908.539
-2.014,-272341697.349,1217811714.131,-291130947.211,1438321191.505
-2.096,-5056940.338,945470016.782,-9773204.649,1147190244.294
0.045,21698951.881,940413076.444,2850067.925,1137417039.645
-1.396,-12814034.191,962112028.325,-2503893.161,1140267107.57
1.893,862544024.114,949297994.133,1022727778.774,1137763214.409
-1.457,-808420350.36,1811842018.247,-949727303.986,2160490993.183
0.835,53892700.75,1003421667.887,45991369.242,1210763689.197
-1.38,-60787265.592,1057314368.638,-54785029.562,1256755058.439
-1.176,5454315.209,996527103.046,-1594311.278,1201970028.877
-0.1,10833218.943,1001981418.255,2791017.247,1200375717.6
-1.23,-13561578.858,1012814637.197,-4492468.585,1203166734.846
0.377,12649444.855,999253058.339,2577438.014,1198674266.262
1.326,350973437.616,1011902503.194,412217536.95,1201251704.276
-1.615,-382380447.413,1362875940.81,-427602402.213,1613469241.226
-1.542,-5061791.188,980495493.398,-8845820.36,1185866839.013
-1.493,-895937.653,975433702.21,-3573782.708,1177021018.653
2.299,1089358396.7,974537764.557,1283875216.364,1173447235.945
1.189,-12050115.369,2063896161.256,3664748.096,2457322452.31
2.1,132583124.543,2051846045.887,124582219.548,2460987200.406
2.767,154429326.292,2184429170.43,196251657.488,2585569419.953
1.979,8679200.332,2338858496.722,5392579.906,2781821077.441
-0.037,-23195500.423,2347537697.054,-13315484.375,2787213657.347
0.766,-18033230.797,2324342196.631,-30078968.707,2773898172.972
-0.562,-62941761.395,2306308965.834,-54935185.244,2743819204.265
2.173,105248374.75,2243367204.439,113339264.932,2688884019.021
-2.632,-1402219455.628,2348615579.189,-1655019221.016,2802223283.953
-2.676,-14896292.396,946396123.561,-17825249.52,1147204062.938
-1.776,3201905.51,931499831.166,-3430201.713,1129378813.418
-2.099,-3503330.887,934701736.676,-2185804.321,1125948611.705
0.315,20081779.521,931198405.788,3000929.978,1123762807.384
0.339,1833757.08,951280185.309,114275.275,1126763737.363
1.103,157463474.574,953113942.389,183987092.788,1126878012.638
-2.877,-183552795.19,1110577416.964,-187572510.171,1310865105.426
2.191,1132287691.472,927024621.774,1326020403.065,1123292595.255
-0.775,-276355243.286,2059312313.246,-305200784.064,2449312998.32
-1.287,-680652150.373,1782957069.96,-813369393.614,2144112214.257
-1.866,-144498679,1102304919.587,-170676928.9,1330742820.642
-1.068,13553225.554,957806240.587,-2028533.457,1160065891.743
-1.904,-23983815.116,971359466.141,-12876806.776,1158037358.285
2.564,1228335901.84,947375651.025,1451540599.349,1145160551.509
2.028,74980675.663,2175711552.865,80350692.259,2596701150.858
-0.584,-87971266.031,2250692228.529,-83061858.512,2677051843.117
-2.459,-1220125053.364,2162720962.497,-1447151674.471,2593989984.605
1.459,563689064.92,942595909.134,636851805.815,1146838310.134
-0.182,-11164672.937,1506284974.054,-11631754.979,1783690115.949
1.443,63786904.931,1495120301.117,67543107.768,1772058360.97
-2.998,-623291594.366,1558907206.049,-701838254.329,1839601468.738
2.516,1269087792.325,935615611.682,1471389039.41,1137763214.409
1.683,27694833.515,2204703404.007,45865962.925,2609152253.818
2.14,37633372.669,2232398237.522,66968289.008,2655018216.744
-2.343,-1320409085.144,2270031610.19,-1564575749.355,2721986505.752
1.066,173045833.107,949622525.046,175649743.887,1157410756.397
-2.242,-184113216.866,1122668358.154,-192978642.407,1333060500.284
2.427,1238137917.782,938555141.288,1438146422.322,1140081857.877
0.754,-31452784.115,2176693059.07,-21142948.344,2578228280.199
1.675,29791018.307,2145240274.955,58873587.126,2557085331.855
2.073,71336890.975,2175031293.263,57748510.583,2615958918.981
-1.989,-1282935280.114,2246368184.238,-1500301501.518,2673707429.565
1.367,482170834.207,963432904.124,544388012.263,1173405928.047
1.336,44542668.553,1445603738.331,47428788.874,1717793940.31
1.992,533645288.284,1490146406.884,655087058.367,1765222729.184
-1.733,-1032281501.204,2023791695.168,-1215225537.099,2420309787.551
2.345,1141740084.825,991510193.964,1341495883.421,1205084250.453
-0.546,-72168045.73,2133250278.789,-68188609.973,2546580133.874
-2.253,-1105837821.836,2061082233.059,-1313938773.027,2478391523.901
-2.616,-19302608.084,955244411.223,-23723882.163,1164452750.874
1.674,775004144.657,935941803.139,892501227.365,1140728868.711
2.922,542953580.125,1710945947.796,647593104.305,2033230096.075
2.259,39026337.2,2253899527.921,59655520.145,2680823200.38
1.002,-15585684.585,2292925865.121,-1504972.904,2740478720.525
1.258,-2486695.318,2277340180.536,-8859219.317,2738973747.621
-2.201,-1319390025.723,2274853485.218,-1567830640.465,2730114528.304
2.618,1255039413.33,955463459.494,1470958159.769,1162283887.84
-2.437,-1269906252.388,2210502872.825,-1490557939.774,2633242047.609
-1.298,4500334.698,940596620.436,-7494360.869,1142684107.835
2.07,1113609106.932,945096955.134,1314142748.695,1135189746.966
1.392,21187863.344,2058706062.066,25463256.351,2449332495.662
2.877,259455630.143,2079893925.41,318047865.501,2474795752.013
0.218,-30270023.927,2339349555.553,-21578313.202,2792843617.514
-2.046,-1349796308.051,2309079531.626,-1604033016.333,2771265304.313
1.559,707592497.088,959283223.575,805179587.123,1167232287.98
1.862,274710681.63,1666875720.663,333843901.347,1972411875.103
-2.29,-997611323.236,1941586402.294,-1157738082.099,2306255776.45
2.397,1213174334.278,943975079.058,1408391105.187,1148517694.351
2.113,76960757.339,2157149413.336,100815510.733,2556908799.538
2.818,100598305.951,2234110170.675,117873466.753,2657724310.271
-2.464,-1390082454.068,2334708476.626,-1628618061.36,2775597777.024
-1.614,-1699035.752,944626022.558,-9310345.136,1146979715.664
-0.532,20220579.44,942926986.806,1798668.818,1137669370.528
2.988,1291599380.685,963147566.246,1526674285.997,1139468039.346
-0.647,-145239237.472,2254746946.932,-139441413.456,2666142325.343
2.496,207047202.737,2109507709.46,249045173.965,2526700911.886
-1.873,-1344806080.117,2316554912.197,-1592268614.824,2775746085.851
0.274,23910094.999,971748832.079,718252.842,1183477471.027
-2.49,-62731728.052,995658927.078,-50685185.055,1184195723.869
1.518,628526139.283,932927199.026,725843289.247,1133510538.814
-1.878,-617625266.031,1561453338.309,-714271954.707,1859353828.061
-0.607,23678228.606,943828072.278,2862302.121,1145081873.354
2.615,1195259097.464,967506300.885,1418114185.674,1147944175.475
1.508,7236923.554,2162765398.349,36363192.107,2566058361.148
-2.876,-1237116462.82,2170002321.902,-1470386663.94,2602421553.255
-0.126,26917573.174,932885859.083,2594569.069,1132034889.315
-1.139,-13308775.219,959803432.257,-7443421.965,1134629458.385
1.087,152635930.667,946494657.038,171759868.978,1127186036.419
-2.75,-176182877.308,1099130587.705,-179234790.865,1298945905.398
0.64,31597331.958,922947710.397,9910095.235,1119711114.532
0.655,4266798.012,954545042.356,6048764.538,1129621209.768
2.971,1268546918.637,958811840.367,1496906581.021,1135669974.305
-1.139,-960533739.211,2227358759.005,-1105858998.074,2632576555.326
2.629,988766167.837,1266825019.794,1158878984.237,1526717557.252
-1.288,-1096288508.192,2255591187.631,-1283401405.003,2685596541.489
1.474,602468817.037,1159302679.438,685853707.152,1402195136.486
1.362,3175508.785,1761771496.475,13269365.807,2088048843.639
-1.75,-788229508.587,1764947005.26,-917536025.368,2101318209.446
-2.292,-42882071.159,976717496.673,-53956770.35,1183782184.078
-1.188,9351698.096,933835425.514,-1784285.348,1129825413.728
-1.079,4462350.327,943187123.609,818159.31,1128041128.38
2.344,1182412084.843,947649473.936,1405094104.038,1128859287.69
2.756,191492210.728,2130061558.779,221590590.543,2533953391.728
2.584,35453938.498,2321553769.507,32981236.454,2755543982.271
-1.781,-1378162989.483,2357007708.004,-1603832514.685,2788525218.725
1.427,539245220.717,978844718.521,609178087.931,1184692704.04
2.137,596525383.158,1518089939.238,713865574.72,1793870791.972
-1.391,-1051752288.242,2114615322.397,-1219188656.602,2507736366.691
2.964,1196593781.129,1062863034.155,1384144987.713,1288547710.09
0.214,-48895305.029,2259456815.284,-32655209.27,2672692697.803
0.534,-17907230.989,2210561510.256,-13083363.032,2640037488.532
-2.861,-1262759078.455,2192654279.266,-1492334322.413,2626954125.5
2.882,1313596569.781,929895200.811,1549886301.48,1134619803.087
2.682,69810294.609,2243491770.592,116500577.235,2684506104.567
-1.37,-1223312529.1,2313302065.2,-1475827616.98,2801006681.801
-2.652,-160969025.65,1089989536.1,-195053592.641,1325179064.821
1.377,481108445.843,929020510.45,538751761.455,1130125472.181
1.563,207627538.999,1410128956.293,258192800.907,1668877233.636
0.908,-16494700.998,1617756495.292,-21314414.35,1927070034.543
-1.342,-598928864.4,1601261794.294,-693307414.464,1905755620.192
0.486,16770157.478,1002332929.894,3312921.526,1212448205.728
2.069,998716275.42,1019103087.373,1189811140.347,1215761127.254
0.931,-32089808.237,2017819362.793,-18746590.607,2405572267.601
-1.329,-909885218.473,1985729554.556,-1082614084.313,2386825676.993
0.04,13477316.091,1075844336.083,-1339410.956,1304211592.68
0.292,365008.427,1089321652.174,-171846.768,1302872181.725
-1.132,-22513442.38,1089686660.601,-17951904.759,1302700334.957
-1.569,-80376557.541,1067173218.221,-89505497.072,1284748430.198
1.169,223783812.657,986796660.68,239611106.347,1195242933.126
-0.211,-3051530.378,1210580473.337,-2888340.779,1434854039.473
-1.473,-216892929.873,1207528942.959,-234973739.487,1431965698.694
-0.264,20225695.978,990636013.086,2178215.033,1196991959.207
0.456,3468237.253,1010861709.064,1255977.044,1199170174.239
-2.54,-86184635.887,1014329946.317,-77688467.716,1200426151.284
2.833,1252026247.27,928145310.43,1469752649.684,1122737683.568
2.723,96559398.157,2180171557.7,112976332.694,2592490333.252
1.24,-36769483.194,2276730955.857,-20706505.638,2705466665.945
-2.584,-1306947230.2,2239961472.663,-1550831892.609,2684760160.307
0.44,26066574.483,933014242.462,1751379.787,1133928267.698
0.861,40941683.561,959080816.945,48765040.429,1135679647.485
-0.339,-699541.811,1000022500.506,-1698588.019,1184444687.914
0.68,3135570.848,999322958.695,1863452.797,1182746099.895
0.986,42353456.539,1002458529.544,50598826.962,1184609552.691
-2.926,-121772694.608,1044811986.083,-112536870.531,1235208379.654
2.458,1171662161.2,923039291.475,1370954160.26,1122671509.123
-0.609,-112684294.353,2094701452.675,-105168129.291,2493625669.383
-0.476,-14644073.56,1982017158.323,-20525963.843,2388457540.092
-1.576,-979730956.887,1967373084.762,-1167941176.172,2367931576.249
1.632,717219113.469,987642127.875,829581476.958,1199990400.077
0.085,-17659928.701,1704861241.344,-9540233.239,2029571877.034
0.283,-4048869.105,1687201312.643,-9357982.666,2020031643.796
0.861,-4371976.82,1683152443.538,-3594693.612,2010673661.13
-0.635,-55214075.841,1678780466.718,-61551783.153,2007078967.518
1.586,107844960.429,1623566390.877,117635509.94,1945527184.365
1.292,-2037592.132,1731411351.306,-3807972.513,2063162694.305
2.534,451754789.454,1729373759.174,537870792.053,2059354721.791
0.025,-49970701.225,2181128548.628,-40454000.37,2597225513.845
2.297,98062889.477,2131157847.403,104418424.3,2556771513.475
-2.384,-1292704810.256,2229220736.88,-1521741373.907,2661189937.775
1.003,131706071.272,936515926.624,129799987.047,1139448563.868
1.65,606774987.11,1068221997.896,726517431.553,1269248550.915
-2.621,-746692278.268,1674996985.005,-866294687.981,1995765982.468
-2.858,-6688191.369,928304706.737,-11462691.411,1129471294.487
-0.613,26466460.854,921616515.368,4187309.886,1118008603.076
-0.665,715133.772,948082976.222,-154245.945,1122195912.962
-2.326,-27168853.795,948798109.994,-6558481.532,1122041667.017
-2.327,-216546.232,921629256.199,-1807526.816,1115483185.485
1.389,421107939.679,921412709.967,476231609.989,1113675658.67
-2.14,-417102418.444,1342520649.646,-467733393.427,1589907268.659
-2.264,-4529481.469,925418231.202,-6588025.322,1122173875.231
-1.499,5562594.201,920888749.732,-2365805.269,1115585849.909
-2.154,-7629273.827,926451343.933,-2793696.444,1113220044.64
-0.631,21613116.276,918822070.106,3835648.227,1110426348.196
2.092,998563902.288,940435186.382,1182412017.686,1114261996.423
0.712,-38502441.384,1938999088.67,-28597586.738,2296674014.11
2.467,275147452.149,1900496647.286,324175332.12,2268076427.371
2.26,46012834.522,2175644099.436,58201202.92,2592251759.491
-1.507,-1190830056.178,2221656933.958,-1405642266.998,2650452962.411
2.968,1163999039.602,1030826877.78,1376689274.439,1244810695.413
0.108,-37169175.757,2194825917.382,-16561658.048,2621499969.853
-1.05,-705325695.835,2157656741.625,-843204060.608,2604938311.805
0.969,83501855.589,1452331045.791,79454899.228,1761734251.197
2.834,694043992.691,1535832901.38,815800758.992,1841189150.425
2.476,87138280.64,2229876894.071,89427217.79,2656989909.417
1.458,-28821794.913,2317015174.712,-13717506.915,2746417127.206
-1.672,-1281579929.43,2288193379.799,-1508664466.002,2732699620.291
1.628,747600170.749,1006613450.369,866788117.828,1224035154.29
-2.43,-823604490.912,1754213621.118,-962237897.455,2090823272.118
-0.989,15684003.018,930609130.206,-703283.456,1128585374.662
1.258,288027142.03,946293133.224,331487242.336,1127882091.206
2.999,979850974.286,1234320275.253,1154768840.652,1459369333.543
-0.801,-352608244.009,2214171249.54,-385372046.982,2614138174.194
2.147,344692058.514,1861563005.531,404020091.205,2228766127.212
2.431,61111689.897,2206255064.045,79105766.925,2632786218.417
1.867,16310491.67,2267366753.941,16053428.47,2711891985.342
-0.704,-183545042.289,2283677245.611,-201127984.584,2727945413.812
-1.125,-692320962.653,2100132203.322,-822116033.249,2526817429.229
0.677,22543022.323,1407811240.669,11758337.162,1704701395.98
2.005,701885089.404,1430354262.992,828555218.821,1716459733.142
-0.018,-33537399.554,2132239352.396,-18125691.621,2545014951.963
0.971,-7382392.939,2098701952.842,-17713518.3,2526889260.342
2.501,167797814.235,2091319559.903,186601726.92,2509175742.042
-1.716,-1255340664.267,2259117374.138,-1477049272.771,2695777468.961
-0.373,26009866.861,1003776709.871,769127.013,1218728196.191
0.617,6300330.238,1029786576.732,7504069.443,1219497323.203
-0.807,-3559719.238,1036086906.97,-955268.791,1227001392.647
0.216,3259233.109,1032527187.732,902201.069,1226046123.855
-1.125,-15880405.179,1035786420.84,-11194588.001,1226948324.924
-0.323,9843446.295,1019906015.661,1694734.57,1215753736.923
-1.916,-65912620.256,1029749461.956,-56119562.823,1217448471.493
2.997,1226863634.778,963836841.699,1453161249.408,1161328908.67
1.38,-4630985.7,2190700476.477,7975720.362,2614490158.079
0.045,-13746729.233,2186069490.777,-11736695.253,2622465878.441
-0.979,-589280312.26,2172322761.544,-696349801.054,2610729183.188
2.64,609691160.444,1583042449.283,705307565.276,1914379382.134
-1.176,-883224610.127,2192733609.727,-1038034120.205,2619686947.41
-1.113,-65700832.134,1309508999.601,-84069552.214,1581652827.204
1.888,784928892.995,1243808167.466,923335887.493,1497583274.99
-1.852,-1061672849.816,2028737060.461,-1246469318.832,2420919162.483
-1.254,5317711.802,967064210.646,-7843937.709,1174449843.651
-2.236,-42350510.637,972381922.448,-43928094.827,1166605905.942
-0.342,22937204.55,930031411.811,5629645.897,1122677811.115
-0.843,172579.593,952968616.361,1342464.477,1128307457.012
0.396,3966043.127,953141195.954,178683.511,1129649921.489
-1.095,-9114140.47,957107239.081,-3068041.62,1129828605.001
-2.108,-18447971.518,947993098.61,-7757371.424,1126760563.38
-0.445,22190005.021,929545127.092,2648327.741,1119003191.957
-1.929,-20476023.235,951735132.113,-4055245.764,1121651519.698
0.7,29226512.652,931259108.878,16701779.894,1117596273.934
2.325,1073201386.921,960485621.53,1274014477.706,1134298053.828
0.4,-43001426.29,2033687008.451,-31622630.743,2408312531.534
2.676,189173500.849,1990685582.161,214673473.786,2376689900.791
-0.446,-31641754.307,2179859083.01,-32134828.43,2591363374.577
-0.962,-520034791.53,2148217328.702,-599015000.483,2559228546.147
0.034,-5586261.437,1628182537.172,-8698926.38,1960213545.664
-2.031,-676468775.594,1622596275.736,-807840566.389,1951514619.284
-0.802,19547579.164,946127500.142,1352096.64,1143674052.895
0.457,2754128.519,965675079.306,131123.502,1145026149.535
1.7,706299182.631,968429207.825,847139511.446,1145157273.037
-2.329,-747448034.195,1674728390.456,-870085129.754,1992296784.483
-1.531,275233.305,927280356.261,-6756465.353,1122211654.729
0.65,23724595.743,927555589.566,10220919.837,1115455189.376
-2.27,-33350026.026,951280185.309,-18109212.173,1125676109.213
2.355,1124944676.329,917930159.284,1305524121.736,1107566897.041
0.832,-33213388.204,2042874835.612,-17261678.492,2413091018.777
-1.704,-1034215851.667,2009661447.408,-1212551423.8,2395829340.284
1.185,235985467.774,975445595.741,253906352.097,1183277916.484
0.163,-3953152.814,1211431063.515,-3035023.84,1437184268.581
1.285,101491145.271,1207477910.701,111708629.086,1434149244.741
1.486,183300985.215,1308969055.972,224485249.651,1545857873.827
-0.737,-94553211.628,1492270041.187,-107666188.673,1770343123.478
2.333,649142954.917,1397716829.559,760722440.2,1662676934.805
-2.478,-1116378376.658,2046859784.476,-1299440792.879,2423399375.005
-0.904,14593217.637,930481407.818,2139011.122,1123958582.126
-0.516,5294711.829,945074625.455,520159.431,1126097593.248
-1.911,-26240328.874,950369337.284,-12904884.562,1126617752.679
-1.789,-904369.39,924129008.41,-1913058.791,1113712868.117
1.99,947828899.775,923224639.019,1101221163.473,1111799809.326
-1.504,-882964946.771,1871053538.794,-1018085110.982,2213020972.8
0.718,34100579.416,988088592.023,18788938.221,1194935861.818
-1.224,-28286762.717,1022189171.439,-22234424.302,1213724800.039
-1.077,4104073.33,993902408.722,-936232.31,1191490375.736
-0.498,8637367.354,998006482.052,1945036.731,1190554143.426
1.318,323337929.844,1006643849.406,377070012.339,1192499180.157
-1.081,-247182852.303,1329981779.25,-275757493.851,1569569192.496
-0.528,8516927.145,1082798926.946,3049572.862,1293811698.645
0.912,39407017.04,1091315854.091,44593677.237,1296861271.508
1.681,466972612.902,1130722871.132,555481640.933,1341454948.745
0.375,-14001200.378,1597695484.034,-8953460.695,1896936589.678
0.581,-3511669.852,1583694283.655,-8591225.027,1887983128.983
1.714,79999657.608,1580182613.804,94052442.2,1879391903.956
0.282,-11690229.507,1660182271.412,-15547929.645,1973444346.156
-0.279,-13082146.857,1648492041.905,-4930667.136,1957896416.511
1.022,6269050.01,1635409895.048,-305078.353,1952965749.375
0.259,-2690020.935,1641678945.057,-4323747.066,1952660671.022
2.283,346372016.978,1638988924.123,402308915.989,1948336923.956
-1.126,-672314180.223,1985360941.101,-764728783.407,2350645839.945
1.83,533999350.628,1313046760.878,613471843.256,1585917056.538
-1.838,-876132263.119,1847046111.506,-1027025033.221,2199388899.794
0.43,19241531.746,970913848.387,2538572.465,1172363866.573
-0.873,-839986.386,990155380.133,-786988.266,1174902439.039
-2.205,-54738138.087,989315393.748,-45612860.859,1174115450.772
0.872,55129791.054,934577255.661,45540491.597,1128502589.913
1.352,260851796.769,989707046.714,296610035.538,1174043081.511
-1.87,-306966777.205,1250558843.483,-333743634.94,1470653117.049
1.696,621420512.511,943592066.278,711820925.392,1136909482.109
0.813,-23176792.009,1565012578.789,-18016520.622,1848730407.502
1.255,7122925.726,1541835786.78,9227750.171,1830713886.88
-0.073,-8165242.388,1548958712.506,-8728238.429,1839941637.051
2.064,316959327.078,1540793470.117,368477874.708,1831213398.622
1.172,-22238720.179,1857752797.195,-8880410.413,2199691273.33
-2.633,-906083422.999,1835514077.016,-1063268960.641,2190810862.917
0.548,24499298.906,929430654.017,4605129.659,1127541902.276
0.821,26173938.089,953929952.924,32580363.618,1132147031.935
-0.148,1652618.647,980103891.012,-745646.787,1164727395.553
1.016,66299477.492,981756509.659,79772274.001,1163981748.766
-1.521,-110648995.501,1048055987.151,-113366667.28,1243754022.767
1.566,540647592.906,937406991.65,615446321.557,1130387355.487
0.288,-15430124.356,1478054584.556,-10913817.33,1745833677.044
2.675,615091465.129,1462624460.2,715344370.655,1734919859.714
-1.352,-1007458903.105,2077715925.329,-1160536588.604,2450264230.369
0.895,66345559.001,1070257022.224,64684864.88,1289727641.765
-0.904,-31968919.171,1136602581.224,-34938053.32,1354412506.645
